primary,2026,"garage,garden,lift","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9oeGV1NjdmYjJ3cjItRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.eOQwGmvaGse-PZkp3UPAhmzzr0E0AYVjiC2eXQRntOw/image;s=1280x1024;q=80,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImV6N2g4cGRzb2JnMi1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.yvupdfHngeaCNoPfdG-bx7J6zVVA7drYpaIUjpuWhGo/image;s=1280x1024;q=80,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im0xMXN6aGwwejl3LUVDT1NZU1RFTSIsInciOlt7ImZuIjoiZW52ZnFxZTFheTRrMS1BUEwiLCJzIjoiMTQiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.m4Byoc6LfiblSSeXIbAMuCwCPXSEW3TN0DZ4dMQv3kQ/image;s=1280x1024;q=80,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImV4cmg0amtpOHl6dDEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.-8dR1s6EXBvLtS6oR3jPbB0YSI1KDkyi1pEhK5PdvXo/image;s=1280x1024;q=80,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Img2dGF6bjQ0NzJ0dDEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.G7hArsiS2mLP4vhjm07VrfMDV9GnT--FjxFedz0oMBo/image;s=1280x1024;q=80,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9oeGV1NjdmYjJ3cjItRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.eOQwGmvaGse-PZkp3UPAhmzzr0E0AYVjiC2eXQRntOw/image;s=1280x1024;q=80,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjcxZjB0c2QxNzFrcTItRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.slyn9oJG0ri6ggg3ASlM0TP0WYusWUc4_kY51KVRUH4/image;s=1280x1024;q=80,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtnYTRkbHF0aDJ3aDEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.JuXaw-TDLA1-wzLq-acjVlQFQNH89_1oTQO8YTA4SNI/image;s=1280x1024;q=80",4-pokojowe-mieszkanie-75m2-ogrodek-ID4uk3x
2-pokojowe-mieszkanie-45m2-balkon-bezposrednio-ID4yTxi,2-pokojowe mieszkanie 45m2 + balkon Bezpośrednio,702000.0,45.0,TWO,FIRST,Podgórze Duchackie
4-pokojowe-mieszkanie-75m2-ogrodek-ID4uk3x,4-pokojowe mieszkanie 75m2 + ogródek,1080432.0,75.03,FOUR,GROUND,Prądnik Czerwony
ul-glogera-mieszkanie-3-pok-f-24-ID4tJWg,ul. Glogera | mieszkanie 3-pok. | F_24,773874.0,50.58,THREE,GROUND,Prądnik Biały
2-pokojowe-mieszkanie-43m2-loggia-ID4ulYF,2-pokojowe mieszkanie 43m2 + loggia,764872.0,43.49,TWO,FIRST,Podgórze
3-pokojowe-mieszkanie-57m2-balkon-bezposrednio-ID4t4xi,3-pokojowe mieszkanie 57m2 + balkon Bezpośrednio,764688.0,57.28,THREE,FIRST,Prądnik Biały
4-pokojowe-mieszkanie-71m2-bez-posrednikow-ID4zean,4-pokojowe mieszkanie 71m2 Bez Pośredników,1075573.0,71.23,FOUR,FIRST,Bronowice
4-pokojowe-mieszkanie-64m2-loggia-bezposrednio-ID4ugFu,4-pokojowe mieszkanie 64m2 + loggia Bezpośrednio,,64.34,FOUR,FIFTH,Dębniki
2-pokojowe-mieszkanie-40m2-balkon-bezposrednio-ID4ugac,2-pokojowe mieszkanie 40m2 + balkon Bezpośrednio,709168.0,40.71,TWO,THIRD,Bronowice
5-pokojowe-mieszkanie-134m2-3-loggie-ID4ulrG,5-pokojowe mieszkanie 134m2 + 3 loggie,3000000.0,134.79,FIVE,NINTH,Podgórze Duchackie
2-pokojowe-mieszkanie-45m2-balkon-ID4uasO,2-pokojowe mieszkanie 45m2 + balkon,675867.0,45.49,TWO,FIFTH,Prądnik Biały
2-pokojowe-mieszkanie-47m2-ogrodek-bezposrednio-ID4zf2z,2-pokojowe mieszkanie 47m2 + ogródek Bezpośrednio,701224.0,47.38,TWO,GROUND,Dębniki
2-pokojowe-mieszkanie-46m2-taras-bez-posrednikow-ID4vehR,2-pokojowe mieszkanie 46m2 + taras Bez Pośredników,,46.79,TWO,FIRST,Prądnik Biały
3-pokoje-po-remoncie-bonarka-mateczny-tramwaj-ID4AFuX,3 pokoje po remoncie/Bonarka/Mateczny/Tramwaj,690000.0,47.0,THREE,GROUND,Podgórze
4-pokojowe-mieszkanie-106m2-2-loggie-ID4ulUG,4-pokojowe mieszkanie 106m2 + 2 loggie,1577236.0,106.57,FOUR,TENTH,Bieżanów-Prokocim
3-pokojowe-mieszkanie-50m2-balkon-ID4ACLS,3-pokojowe mieszkanie 50m2 + balkon,609480.0,50.79,THREE,FIRST,Nowa Huta
kameralny-ruczaj-mieszkanie-3-pok-20-ID4wHPv,Kameralny Ruczaj | mieszkanie 3-pok. | 20,920160.0,57.51,THREE,FIRST,Dębniki
4-pokojowe-mieszkanie-97m2-bezposrednio-ID4AKZt,4-pokojowe mieszkanie 97m2 Bezpośrednio,1441076.0,97.37,FOUR,FOURTH,Podgórze Duchackie
4-pokojowy-apartament-90m2-loggia-bezposrednio-ID4ubtv,4-pokojowy apartament 90m2 + loggia Bezpośrednio,3168900.0,90.54,FOUR,EIGHTH,Grzegórzki
geremka-inwestycja-mieszkanie-3-pok-b-m2-ID4ve8x,Geremka Inwestycja  | mieszkanie 3-pok. | B_M2,650168.0,50.09,THREE,SECOND,Swoszowice
4-pokojowe-mieszkanie-76m2-loggia-bezposrednio-ID4z9lX,4-pokojowe mieszkanie 76m2 + loggia Bezpośrednio,1125984.0,76.08,FOUR,SECOND,Podgórze Duchackie
